"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-46008-cfa008570","Northgate México A en P","CAF Banco de Desarrollo de América Latina y el Caribe","20,575,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008570",2
"XM-DAC-46008-cfa008604","Rehabiliatación y reconstrucción carretera Epizana - Comarapa","CAF Banco de Desarrollo de América Latina y el Caribe","132,155,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008604",2
"XM-DAC-46008-cfa008608","CRB Bio II","CAF Banco de Desarrollo de América Latina y el Caribe","5,200,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008608",2
"XM-DAC-46008-cfa008640","Programa de Infraestructura de Saneamiento del Norte Grande II","CAF Banco de Desarrollo de América Latina y el Caribe","90,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008640",4
"XM-DAC-46008-cfa008680","Programa Sistema de Macrodrenaje del Río Baquirivu-Guaçu y Presas Duas Pontes y Pedreira","CAF Banco de Desarrollo de América Latina y el Caribe","204,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008680",4
"XM-DAC-46008-cfa008700","Proyecto SABIAMAR","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008700",2
"XM-DAC-46008-cfa008729","Programa de Mejoramiento de Corredores de Integración y Reconstrucción Vial","CAF Banco de Desarrollo de América Latina y el Caribe","222,076,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008729",2
"XM-DAC-46008-cfa008734","Programa Progresar I relacionado con el Cambio de la Matriz Productiva.","CAF Banco de Desarrollo de América Latina y el Caribe","120,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008734",4
"XM-DAC-46008-cfa008741","Programa Nueva Infraestructura Educativa","CAF Banco de Desarrollo de América Latina y el Caribe","176,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008741",2
"XM-DAC-46008-cfa008748","Financiera de Desarrollo Nacional","CAF Banco de Desarrollo de América Latina y el Caribe","50,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008748",2
"XM-DAC-46008-cfa008779","Compañía Española de Financiación del Desarrollo (COFIDES)","CAF Banco de Desarrollo de América Latina y el Caribe","1,650,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008779",2
"XM-DAC-46008-cfa008787","Centrales hidroeléctricas Angel I, Angel II y Angel III","CAF Banco de Desarrollo de América Latina y el Caribe","13,764,767",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008787",2
"XM-DAC-46008-cfa008791","Proyecto de Optimización de la Red Hidrometeorológica Nacional","CAF Banco de Desarrollo de América Latina y el Caribe","48,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008791",2
"XM-DAC-46008-cfa008793","Centrales hidroeléctricas Angel I, Angel II y Angel III","CAF Banco de Desarrollo de América Latina y el Caribe","11,389,679",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008793",2
"XM-DAC-46008-cfa008794","Centrales hidroeléctricas Angel I, Angel II y Angel III","CAF Banco de Desarrollo de América Latina y el Caribe","12,145,554",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008794",2
"XM-DAC-46008-cfa008868","Partners Group Mexican Energy Infraestructure 2014 Lp","CAF Banco de Desarrollo de América Latina y el Caribe","15,150,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008868",2
"XM-DAC-46008-cfa008889","Aurus Capital S.A. (FIP Aurus Ventures III y III – B)","CAF Banco de Desarrollo de América Latina y el Caribe","5,025,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008889",2
"XM-DAC-46008-cfa008919","Programa para el Desarrollo de la Infraestructura Destinada a Promover la Capacidad Emprendedora","CAF Banco de Desarrollo de América Latina y el Caribe","70,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008919",2
"XM-DAC-46008-cfa008945","Programa de Infraestructura Universitaria II - Fase B","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008945",2
"XM-DAC-46008-cfa008949","Primera Línea del Metro de Quito","CAF Banco de Desarrollo de América Latina y el Caribe","252,800,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008949",4
"XM-DAC-46008-cfa009103","Caf Asset Management Corp.","CAF Banco de Desarrollo de América Latina y el Caribe","5,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009103",2
"XM-DAC-46008-cfa009120","Talde Capital de Crecimiento Fondo de Capital Riesgo","CAF Banco de Desarrollo de América Latina y el Caribe","4,050,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009120",2
"XM-DAC-46008-cfa009204","Proyecto de Construcción, Modernización y Optimización de la Infraestructura de los Sistemas de Abastecimiento de Agua Potable a Nivel Nacional","CAF Banco de Desarrollo de América Latina y el Caribe","68,250,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009204",2
"XM-DAC-46008-cfa009211","Cable sublacustre en Lago de Maracaibo","CAF Banco de Desarrollo de América Latina y el Caribe","200,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009211",2
"XM-DAC-46008-cfa009225","Proyecto de Saneamiento y Control de Nivel del Lago de Valencia","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009225",2
"XM-DAC-46008-cfa009238","Proyecto de Saneamiento de la Ciudad y Bahía de Panamá - Segundo Módulo Planta de Tratamiento de Aguas Residuales","CAF Banco de Desarrollo de América Latina y el Caribe","110,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa009238",2
